Date,Open,High,Low,Close,Adj Close,Volume
2018-03-16,16350.000000,16500.000000,16100.000000,16100.000000,13600.903320,93442
2018-03-19,16150.000000,16500.000000,16100.000000,16450.000000,13896.573242,75513
2018-03-20,16450.000000,16450.000000,16250.000000,16450.000000,13896.573242,55221
2018-03-21,16400.000000,16500.000000,16200.000000,16350.000000,13812.096680,68087
2018-03-22,16200.000000,16400.000000,15900.000000,15900.000000,13431.945313,100718
2018-03-23,15600.000000,15750.000000,15250.000000,15550.000000,13136.273438,148434
2018-03-26,15450.000000,15850.000000,15400.000000,15750.000000,13305.229492,49584
2018-03-27,15850.000000,16050.000000,15600.000000,16000.000000,13516.424805,89296
2018-03-28,15800.000000,16000.000000,15700.000000,15950.000000,13474.184570,55596
2018-03-29,15850.000000,16000.000000,15700.000000,16000.000000,13516.424805,78605
2018-03-30,15900.000000,16050.000000,15650.000000,15900.000000,13431.945313,61633
2018-04-02,15950.000000,15950.000000,15400.000000,15500.000000,13094.035156,58608
2018-04-03,15350.000000,15900.000000,15300.000000,15750.000000,13305.229492,78292
2018-04-04,15750.000000,15900.000000,15600.000000,15700.000000,13262.990234,74781
2018-04-05,15750.000000,15800.000000,15600.000000,15700.000000,13262.990234,37189
2018-04-06,15700.000000,15900.000000,15600.000000,15850.000000,13389.708008,51501
2018-04-09,15950.000000,16250.000000,15800.000000,16100.000000,13600.903320,187325
2018-04-10,16150.000000,16150.000000,15650.000000,15800.000000,13347.468750,89615
2018-04-11,15750.000000,16050.000000,15700.000000,16000.000000,13516.424805,72212
2018-04-12,16100.000000,16500.000000,16000.000000,16400.000000,13854.334961,201745
2018-04-13,16600.000000,17000.000000,16150.000000,16250.000000,13727.618164,335522
2018-04-16,16150.000000,16850.000000,16150.000000,16850.000000,14234.483398,157746
2018-04-17,16850.000000,16900.000000,16600.000000,16800.000000,14192.246094,65365
2018-04-18,16900.000000,16900.000000,16450.000000,16600.000000,14023.290039,84236
2018-04-19,16600.000000,17200.000000,16450.000000,17050.000000,14403.438477,145296
2018-04-20,17050.000000,17100.000000,16750.000000,16850.000000,14234.483398,85325
2018-04-23,16700.000000,17050.000000,16650.000000,16700.000000,14107.767578,83044
2018-04-24,16900.000000,17000.000000,16600.000000,16850.000000,14234.483398,62650
2018-04-25,16700.000000,16900.000000,16400.000000,16850.000000,14234.483398,120984
2018-04-26,16750.000000,16950.000000,16650.000000,16750.000000,14150.007813,68130
2018-04-27,16850.000000,17350.000000,16650.000000,17350.000000,14656.873047,158489
2018-04-30,17350.000000,17650.000000,17050.000000,17200.000000,14530.157227,127412
2018-05-02,17100.000000,17450.000000,17050.000000,17450.000000,14741.348633,120842
2018-05-03,17450.000000,17800.000000,17100.000000,17650.000000,14910.304688,207626
2018-05-04,18200.000000,19600.000000,17500.000000,17550.000000,14825.830078,614416
2018-05-08,17500.000000,17600.000000,16900.000000,17050.000000,14403.438477,115924
2018-05-09,17300.000000,17800.000000,17150.000000,17700.000000,14952.541992,231592
2018-05-10,17900.000000,18200.000000,17450.000000,17800.000000,15037.023438,188120
2018-05-11,17900.000000,18150.000000,17800.000000,17950.000000,15163.739258,187016
2018-05-14,18150.000000,18200.000000,17650.000000,17800.000000,15037.023438,142738
2018-05-15,17700.000000,18200.000000,17700.000000,18200.000000,15374.933594,192612
2018-05-16,17650.000000,18100.000000,17650.000000,17850.000000,15079.260742,82580
2018-05-17,17800.000000,18200.000000,17750.000000,17950.000000,15163.739258,65056
2018-05-18,17900.000000,18150.000000,17700.000000,18150.000000,15332.692383,72086
2018-05-21,18150.000000,18200.000000,17900.000000,18050.000000,15248.217773,71659
2018-05-23,18050.000000,18300.000000,17850.000000,17900.000000,15121.498047,79694
2018-05-24,17800.000000,17950.000000,17600.000000,17900.000000,15121.498047,78635
2018-05-25,17500.000000,17900.000000,17500.000000,17750.000000,14994.785156,66541
2018-05-28,17700.000000,18000.000000,17500.000000,17750.000000,14994.785156,55096
2018-05-29,17700.000000,17800.000000,17250.000000,17300.000000,14614.631836,98838
2018-05-30,17300.000000,18100.000000,17300.000000,18050.000000,15248.217773,141927
2018-05-31,18100.000000,18600.000000,17850.000000,18550.000000,15670.602539,262139
2018-06-01,18550.000000,18800.000000,18250.000000,18400.000000,15543.889648,98736
2018-06-04,18450.000000,18500.000000,17800.000000,17950.000000,15163.739258,98777
2018-06-05,17850.000000,18550.000000,17850.000000,18350.000000,15501.649414,130034
2018-06-07,18500.000000,18550.000000,18300.000000,18400.000000,15543.889648,79195
2018-06-08,18300.000000,18450.000000,17900.000000,18100.000000,15290.455078,82296
2018-06-11,18550.000000,18550.000000,17950.000000,18500.000000,15628.365234,93882
2018-06-12,18600.000000,18600.000000,18200.000000,18450.000000,15586.126953,60278
2018-06-14,18400.000000,18450.000000,18050.000000,18200.000000,15374.933594,61214
2018-06-15,18100.000000,18550.000000,18100.000000,18500.000000,15628.365234,157919
2018-06-18,18650.000000,18700.000000,17600.000000,18150.000000,15332.692383,67323
2018-06-19,18150.000000,18250.000000,17650.000000,17650.000000,14910.304688,67035
2018-06-20,17550.000000,18000.000000,17500.000000,17700.000000,14952.541992,52901
2018-06-21,17750.000000,17850.000000,17250.000000,17400.000000,14699.113281,71191
2018-06-22,17250.000000,17500.000000,17100.000000,17150.000000,14487.917969,65874
2018-06-25,17150.000000,17500.000000,17100.000000,17350.000000,14656.873047,63152
2018-06-26,17100.000000,17400.000000,16900.000000,17100.000000,14445.678711,84229
2018-06-27,17150.000000,17600.000000,17150.000000,17500.000000,14783.588867,67702
2018-06-28,17350.000000,17500.000000,16750.000000,16800.000000,14356.318359,77446
2018-06-29,16850.000000,17150.000000,16650.000000,16750.000000,14313.590820,51490
2018-07-02,16900.000000,17100.000000,16400.000000,16400.000000,14014.500977,63848
2018-07-03,16400.000000,16650.000000,15650.000000,16650.000000,14228.136719,91508
2018-07-04,16500.000000,17050.000000,16300.000000,17050.000000,14569.953125,60277
2018-07-05,16950.000000,17000.000000,16100.000000,16550.000000,14142.683594,54564
2018-07-06,16450.000000,16700.000000,16150.000000,16600.000000,14185.410156,39004
2018-07-09,16650.000000,16750.000000,16150.000000,16400.000000,14014.500977,81405
2018-07-10,16300.000000,17200.000000,16300.000000,17050.000000,14569.953125,69054
2018-07-11,16900.000000,17350.000000,16700.000000,17350.000000,14826.317383,67193
2018-07-12,17300.000000,17650.000000,17000.000000,17650.000000,15082.678711,46814
2018-07-13,17350.000000,17650.000000,16950.000000,17400.000000,14869.044922,111404
2018-07-16,17400.000000,17400.000000,17050.000000,17400.000000,14869.044922,45993
2018-07-17,17250.000000,17250.000000,16700.000000,16950.000000,14484.500000,139037
2018-07-18,17250.000000,17650.000000,16800.000000,17000.000000,14527.226563,144032
2018-07-19,17200.000000,18500.000000,17100.000000,18250.000000,15595.407227,498231
2018-07-20,18350.000000,18750.000000,18000.000000,18050.000000,15424.497070,303102
2018-07-23,18400.000000,18450.000000,17950.000000,18150.000000,15509.949219,120015
2018-07-24,17900.000000,18250.000000,17650.000000,18250.000000,15595.407227,127068
2018-07-25,18400.000000,18550.000000,17600.000000,17950.000000,15339.042969,172447
2018-07-26,18050.000000,18300.000000,17800.000000,18100.000000,15467.223633,74049
2018-07-27,18100.000000,18250.000000,18000.000000,18050.000000,15424.497070,40573
2018-07-30,18050.000000,18250.000000,17700.000000,18050.000000,15424.497070,60660
2018-07-31,17900.000000,18500.000000,17900.000000,18350.000000,15680.859375,409181
2018-08-01,18800.000000,19400.000000,18600.000000,19100.000000,16321.768555,489820
2018-08-02,19050.000000,19800.000000,19050.000000,19800.000000,16919.947266,301161
2018-08-03,19900.000000,20450.000000,19700.000000,20450.000000,17475.398438,417524
2018-08-06,20500.000000,20700.000000,19850.000000,20400.000000,17432.671875,256621
2018-08-07,20400.000000,20800.000000,20150.000000,20600.000000,17603.580078,200997
2018-08-08,20750.000000,21000.000000,20550.000000,20900.000000,17859.941406,241261
2018-08-09,20750.000000,21000.000000,20050.000000,20550.000000,17560.853516,182201
2018-08-10,20550.000000,20700.000000,20050.000000,20450.000000,17475.398438,187782
2018-08-13,20450.000000,20500.000000,20000.000000,20350.000000,17389.945313,131638
2018-08-14,20450.000000,20700.000000,20100.000000,20500.000000,17518.128906,133873
2018-08-16,20500.000000,20650.000000,20150.000000,20550.000000,17560.853516,113171
2018-08-17,20550.000000,20550.000000,20150.000000,20200.000000,17261.761719,137823
2018-08-20,20200.000000,20850.000000,20100.000000,20800.000000,17774.488281,114637
2018-08-21,20800.000000,20800.000000,20400.000000,20650.000000,17646.306641,66266
2018-08-22,20750.000000,20750.000000,20150.000000,20500.000000,17518.128906,143686
2018-08-23,20550.000000,20850.000000,20250.000000,20700.000000,17689.033203,145114
2018-08-24,20800.000000,21500.000000,20500.000000,21300.000000,18201.759766,275946
2018-08-27,21350.000000,21550.000000,20700.000000,21000.000000,17945.398438,147177
2018-08-28,21150.000000,21250.000000,20800.000000,21000.000000,17945.398438,101612
2018-08-29,21000.000000,21000.000000,20450.000000,20800.000000,17774.488281,93786
2018-08-30,20750.000000,21100.000000,20550.000000,21100.000000,18030.849609,103465
2018-08-31,21050.000000,21200.000000,20600.000000,20700.000000,17689.033203,121961
2018-09-03,20850.000000,21200.000000,20700.000000,20950.000000,17902.669922,107282
2018-09-04,20950.000000,20950.000000,20500.000000,20900.000000,17859.941406,142075
2018-09-05,20850.000000,21000.000000,20550.000000,20700.000000,17689.033203,100046
2018-09-06,20650.000000,21000.000000,20400.000000,20850.000000,17817.214844,106340
2018-09-07,20850.000000,20900.000000,20600.000000,20800.000000,17774.488281,60852
2018-09-10,20850.000000,20900.000000,20650.000000,20900.000000,17859.941406,65047
2018-09-11,21000.000000,21400.000000,20850.000000,21150.000000,18073.580078,143372
2018-09-12,21300.000000,21400.000000,20750.000000,21150.000000,18073.580078,178393
2018-09-13,21150.000000,22100.000000,21000.000000,21200.000000,18116.304688,302393
2018-09-14,21400.000000,21750.000000,21000.000000,21750.000000,18586.302734,152248
2018-09-17,21800.000000,21950.000000,21150.000000,21500.000000,18372.667969,155212
2018-09-18,21400.000000,21700.000000,21150.000000,21300.000000,18201.759766,78803
2018-09-19,21300.000000,21300.000000,20000.000000,20200.000000,17261.761719,215370
2018-09-20,20350.000000,20350.000000,19600.000000,20200.000000,17261.761719,267761
2018-09-21,20200.000000,20350.000000,19950.000000,20300.000000,17347.218750,39829
2018-09-27,20300.000000,20400.000000,19850.000000,20300.000000,17347.218750,93990
2018-09-28,20300.000000,20750.000000,20200.000000,20200.000000,17261.761719,97665
2018-10-01,20200.000000,20700.000000,20200.000000,20550.000000,17560.853516,66735
2018-10-02,20450.000000,20600.000000,19900.000000,20300.000000,17347.218750,147239
2018-10-04,20250.000000,20700.000000,19950.000000,20000.000000,17090.853516,54355
2018-10-05,20200.000000,20350.000000,19750.000000,20200.000000,17261.761719,34109
2018-10-08,20100.000000,20550.000000,20050.000000,20400.000000,17432.671875,37632
2018-10-10,20400.000000,20650.000000,19550.000000,20150.000000,17219.037109,122039
2018-10-11,19150.000000,19850.000000,18650.000000,18700.000000,15979.948242,113379
2018-10-12,18500.000000,19600.000000,18500.000000,19400.000000,16578.126953,81436
2018-10-15,19200.000000,19550.000000,19050.000000,19200.000000,16407.218750,46105
2018-10-16,19100.000000,19350.000000,18900.000000,19000.000000,16236.311523,42120
2018-10-17,19100.000000,19250.000000,18900.000000,19150.000000,16364.493164,50212
2018-10-18,19150.000000,19200.000000,18450.000000,18600.000000,15894.495117,77988
2018-10-19,18450.000000,18550.000000,18000.000000,18150.000000,15509.949219,128679
2018-10-22,18150.000000,18600.000000,18150.000000,18600.000000,15894.495117,83241
2018-10-23,18600.000000,18650.000000,18200.000000,18250.000000,15595.407227,61650
2018-10-24,18350.000000,18550.000000,17550.000000,18250.000000,15595.407227,66159
2018-10-25,17550.000000,18200.000000,17550.000000,17700.000000,15125.405273,57619
2018-10-26,17900.000000,18050.000000,17300.000000,17900.000000,15296.313477,91354
2018-10-29,18000.000000,18050.000000,17000.000000,17450.000000,14911.769531,124369
2018-10-30,16850.000000,17750.000000,16850.000000,17400.000000,14869.044922,78111
2018-10-31,17450.000000,17750.000000,17300.000000,17400.000000,14869.044922,63257
2018-11-01,17800.000000,18300.000000,17350.000000,17600.000000,15039.953125,100610
2018-11-02,17600.000000,18100.000000,17600.000000,17700.000000,15125.405273,72163
2018-11-05,17700.000000,17850.000000,17100.000000,17550.000000,14997.226563,95336
2018-11-06,17650.000000,18400.000000,17600.000000,18350.000000,15680.859375,129861
2018-11-07,18400.000000,18500.000000,17900.000000,18100.000000,15467.223633,119909
2018-11-08,18150.000000,18550.000000,17850.000000,18000.000000,15381.769531,68718
2018-11-09,18000.000000,18050.000000,17350.000000,17850.000000,15253.586914,68281
2018-11-12,17700.000000,18000.000000,17450.000000,17800.000000,15210.862305,42613
2018-11-13,17550.000000,17700.000000,17200.000000,17500.000000,14954.497070,98821
2018-11-14,17500.000000,17800.000000,17450.000000,17550.000000,14997.226563,51940
2018-11-15,17500.000000,18000.000000,17400.000000,18000.000000,15381.769531,57276
2018-11-16,17900.000000,18000.000000,17500.000000,17700.000000,15125.405273,137076
2018-11-19,17700.000000,17900.000000,17550.000000,17800.000000,15210.862305,48155
2018-11-20,17600.000000,17950.000000,17600.000000,17700.000000,15125.405273,38476
2018-11-21,17550.000000,17650.000000,17300.000000,17450.000000,14911.769531,69621
2018-11-22,17400.000000,17650.000000,17400.000000,17550.000000,14997.226563,49500
2018-11-23,17550.000000,17650.000000,17350.000000,17550.000000,14997.226563,26654
2018-11-26,17400.000000,17800.000000,17400.000000,17700.000000,15125.405273,44641
2018-11-27,17650.000000,17800.000000,17450.000000,17650.000000,15082.678711,41495
2018-11-28,17600.000000,17800.000000,17450.000000,17650.000000,15082.678711,83402
2018-11-29,17750.000000,17850.000000,16800.000000,16950.000000,14484.500000,228685
2018-11-30,16950.000000,16950.000000,16250.000000,16500.000000,14099.956055,166169
2018-12-03,16550.000000,16600.000000,16200.000000,16450.000000,14057.227539,163148
2018-12-04,16450.000000,16450.000000,16000.000000,16300.000000,13929.045898,159212
2018-12-05,16200.000000,16300.000000,16050.000000,16250.000000,13886.320313,74647
2018-12-06,16300.000000,16500.000000,15950.000000,15950.000000,13629.956055,170181
